ICM_ID,boundary,landchange_allowed
1,2D compartment,1
2,2D compartment,1
3,2D compartment,1
4,2D compartment,1
5,2D compartment,1
6,2D compartment,1
7,2D compartment,1
8,2D compartment,1
9,2D compartment,1
10,2D compartment,1
11,2D tributary boundary (Qmult > 0),0
12,2D compartment,1
13,2D compartment,1
14,2D compartment,1
15,2D compartment,1
16,FWOA diversion outfall - Maurepas,1
17,2D compartment,1
18,2D compartment,1
19,FWOA diversion outfall - Maurepas,1
20,2D compartment,1
21,2D compartment,1
22,2D compartment,1
23,2D compartment,1
24,2D compartment,1
25,2D compartment,1
26,2D compartment,1
27,2D compartment,1
28,2D compartment,1
29,2D compartment,1
30,2D compartment,1
31,2D compartment,1
32,2D compartment,1
33,2D tributary boundary (Qmult > 0),0
34,2D compartment,1
35,2D compartment,1
36,2D compartment,1
37,2D tributary boundary (Qmult > 0),0
38,2D tributary boundary (Qmult > 0),0
39,2D compartment,1
40,2D compartment,1
41,2D compartment,1
42,2D compartment,1
43,2D compartment,1
44,2D compartment,1
45,2D compartment,1
46,2D compartment,1
47,2D compartment,1
48,2D compartment,1
49,2D compartment,1
50,2D compartment,1
51,2D compartment,1
52,2D compartment,1
53,2D compartment,1
54,2D compartment,1
55,2D compartment,1
56,2D compartment,1
57,2D compartment,1
58,2D compartment,1
59,2D compartment,1
60,2D compartment,1
61,2D compartment,1
62,2D compartment,1
63,2D compartment,1
64,2D compartment,1
65,2D compartment,1
66,2D compartment,1
67,2D compartment,1
68,2D compartment - GoM,0
69,2D tributary boundary (Qmult > 0),0
70,2D compartment,1
71,2D compartment - GoM,0
72,2D compartment - GoM,0
73,2D compartment,1
